Date,Open,High,Low,Close,Adj Close,Volume,Stock
2021-07-30,285.170013,286.660004,283.910004,284.910004,281.211334,20944800,MSFT
2021-07-29,286.23999,288.619995,286.079987,286.5,282.78067,18168300,MSFT
2021-07-28,288.98999,290.149994,283.829987,286.220001,282.504303,33566900,MSFT
2021-07-27,289.429993,289.579987,282.950012,286.540009,282.82016,33604100,MSFT
2021-07-26,289,289.690002,286.640015,289.049988,285.297607,23176100,MSFT
2021-07-23,287.369995,289.98999,286.5,289.670013,285.909515,22768100,MSFT
2021-07-22,283.839996,286.420013,283.420013,286.140015,282.425385,23384100,MSFT
2021-07-21,278.899994,281.519989,277.290009,281.399994,277.746887,24364300,MSFT
2021-07-20,278.029999,280.970001,276.26001,279.320007,275.693939,26259700,MSFT
2021-07-19,278.929993,280.369995,274.450012,277.01001,273.413879,32935600,MSFT
2021-07-16,282.070007,284.100006,279.459991,280.75,277.105316,26186800,MSFT
2021-07-15,282,282.51001,279.829987,281.029999,277.381683,22604200,MSFT
